Archaeocidaris 101000000 0-0-000010 0000-00000 11 0000?????? ????10-100 5060?11??0 0000????00 0010-0- 000-1--0-- 0 11 00000-0000 00000-?000 000-0-000- 000------- 0 010000---- 0000-00000 20??0----0 -00--00-11 11000203 001000--00 30000 00000000-0 110?0-0000 0 1100010001 20010 00?0-10000 000000000- ----00-000 00?00-0000 0---- 
Tiarechinus 1000000 0-0-002100 0000-00000 0000?? 00002----- 012000-100 51?0?00000 1 ???0-0- 000-1--0-- 0 11 00000-0000 00000-?000 000-0-000- 000------- 0 200000---- 00--0-000- 10??0----0 0?0-120-11 0000-00003 100000--00 30000 00000000-0 ?????????? ?? ?????????? ?????? ?????????? ????0000?? ????00-000 00?00-0000 0---- 
Triadotiaris 1000000 0-0-000010 0000-00000 0000?? 00020----- 012010-110 5150??1000 100000 ?010-?- 020-0-532? 0 12011 00000-0000 00000-?000 000-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11100223 000000--00 30000 00000000-0 1?0?220000 0 1100010001 20011 1100-0000? 00000000?? ????00-000 00?00-0000 0---- 
Serpianotiaris 1000000 0-0-002010 0000-00000 0000?? 00003----- 012010-110 5150?00000 0 0000-0- 010-01532? 0 11 10000-0000 000002?000 001-0-000- 000------- 0 110000---- 0000-00000 20??0----0 -00--00-11 1110 000-000000 0002?00 00000000-0 1?0?200000 0? 1100?1000? 0?0011 1100-0000? 00000000?? ????00-000 00?00-0000 0---- 
Polycidaris 1000000 0-0-001100 0000-00000 0000?? 00000----- 012010-110 5150?00000 101000 0000-0- 020-00030? 0 11 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0010-00223 000000--00 30000 00000000-0 ????2?0000 0 1100??0??0 00001? ?101010??? 00000000?? ????00-000 00?00-0000 0---- 
Diplocidaris 1000000 0-0-002100 0000-00000 0000?? 00002----- 012000-100 5150010000 1 ???0-0- 020-00020? 0 20011011 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11000223 000000--00 30000 00000000-0 ????210000 0 11000?0??? ??001? 1?01010??? 00000000?? ????00-000 00?00-0000 0---- 
Rhabdocidaris 1000000 0-0-002100 0000-00000 1 00003----- 012010-110 5150?00000 100000 0000-0- 040-00020? 0 10000011 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11000223 000000--00 30000 00000000-0 ????210000 0 11???????? ????1? 110102000? 000000000- ----00-000 00?00-0000 0---- 
Histocidaris 1000000 0-0-002100 0000-00000 1 00003----- 012010-110 5150100000 0 0000-0- 000-1--0-- 0 11 00000-0000 00000-5000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11100223 000000--00 30000 00000000-0 1101210000 0 110001000? 0?0011 1101020100 000000000- ----00-000 00?00-0000 0---- 
Poriocidaris 1000000 0-0-002100 0000-00000 0000?? 00003----- 012010-110 5151100000 0 0000-0- 000-1--0-- 0 11 00000-0000 00000-5000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11100223 000000--00 30000 00000000-0 11012?0000 0 110001000? 0?0011 1101100100 000000000- ----00-000 00?00-0000 0---- 
Paurocidaris 1000000 0-0-002100 000?-00000 0000?? 0000?????? 0???10-??? ??????0??? ?????0???? ???0-?- 000-1--0-- 0 11 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 10??0----0 -00--00-11 11000223 010000--00 30000 00000000-0 ????0-0000 0 11???????? ????1? ?????????? ????0??0?? ????00-000 00?00-0000 0---- 
Anisocidaridae 1000000 0-0-002100 000?-00000 0000?? 0000?????? 0???10-??? ??????0??? ?????0???? ???0-?- 000-1--0-- 0 20000011 00000-0000 00000-?000 000-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11000223 000000--00 30000 00000000-0 ?????????? ?? 11???????? ????1? ?????????? ????0??0?? ????00-000 00?00-0000 0---- 
Stylocidaris 1000000 0-0-002100 0000-00000 0 00003----- 012010-110 5150000000 0 0000-0- 000-1--0-- 0 10000011 00000-0000 00000-5000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11001203 000000--00 30000 00000000-0 1100210000 0 1100010000 11 1101020010 000000000- ----00-000 00?00-0000 0---- 
Cidaris 1000000 0-0-002100 0000-00000 0 00003----- 012010-110 5150000000 0 0000-0- 000-1--0-- 0 11 00000-0000 00000-5000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11001203 000000--00 30000 00000000-0 1100210000 0 1100010000 11 1101020010 000000000- ----00-000 00?00-0000 0---- 
