Archaeocidaris  0101000000 0-0-000010 0000-00000 000011 0000?????? ????10-100 5060?11??0 0000????00 0010-0- 
Tiarechinus  0001000000 0-0-002100 0000-00000 0000?? 00002----- 012000-100 51?0?00000 0000000001 ???0-0- 
Triadotiaris  0001000000 0-0-000010 0000-00000 0000?? 00020----- 012010-110 5150??1000 0000100000 ?010-?- 
Serpianotiaris  0001000000 0-0-002010 0000-00000 0000?? 00003----- 012010-110 5150?00000 0000000000 0000-0- 
Polycidaris  0001000000 0-0-001100 0000-00000 0000?? 00000----- 012010-110 5150?00000 0000101000 0000-0- 
Diplocidaris  0001000000 0-0-002100 0000-00000 0000?? 00002----- 012000-100 5150010000 0000000001 ???0-0- 
Rhabdocidaris  0001000000 0-0-002100 0000-00000 000001 00003----- 012010-110 5150?00000 0000100000 0000-0- 
Histocidaris  0001000000 0-0-002100 0000-00000 000001 00003----- 012010-110 5150100000 0000000000 0000-0- 
Poriocidaris  0001000000 0-0-002100 0000-00000 0000?? 00003----- 012010-110 5151100000 0000000000 0000-0- 
Paurocidaris  0001000000 0-0-002100 000?-00000 0000?? 0000?????? 0???10-??? ??????0??? ?????0???? ???0-?- 
Anisocidaridae  0001000000 0-0-002100 000?-00000 0000?? 0000?????? 0???10-??? ??????0??? ?????0???? ???0-?- 
Stylocidaris  0001000000 0-0-002100 0000-00000 000000 00003----- 012010-110 5150000000 0000000000 0000-0- 
Cidaris 0001000000 0-0-002100 0000-00000 000000 00003----- 012010-110 5150000000 0000000000 0000-0- 
Ctenocidaris  0001000000 0-0-002100 0000-00000 0000?? 00003----- 012010-110 5150100000 0000000000 0000-0- 
Goniocidaris  0001000000 0-0-002100 0010200000 000000 00000----- 012010-110 5150100000 0000101000 0000-0- 
Phyllacanthus  0001000000 0-0-002100 0000-00000 0000?? 00003----- 012010-110 5150000000 0000000000 0000-0- 
Tylocidaris  0001000000 0-0-002100 0000-00000 0000?? 00002----- 012010-110 5150000000 0000000000 0000-0- 
Roseicidaris  0001000000 0-0-002100 000?-00000 0000?? 0000?????? 0???10-??? ?????????? ?????????? ???0-0- 
Stereocidaris  0001000000 0-0-002100 0010200000 000000 00003----- 012010-110 5150000000 0000000000 0000-0- 
Typocidaris  0001000000 0-0-002100 001?200000 000000 0000?????? 0???10-??? ?????????? ?????????? ???0-?- 
Eotiaris  0001000000 0-0-002010 000?-00000 0000?? 000??????? 0???10-1?? ?????????? ?????????? ???0-?- 
Pelanodiadema  0?01000000 0-0-001000 0000-00000 0000?? 00000----- 012010-100 5150??1000 000010000? ?0?0-0- 
Araeosoma  0101000000 0-0-000000 1100-00000 000011 00000----- 012010-100 5153?11000 0000100000 0010-0- 
Hygrosoma 0101000000 0-0-000000 0000-00000 0000?? 00020----- 012010-100 5153?11020 0000100000 0010-0- 
Kamptosoma  0101000000 0-0-000000 0000-00000 0000?? 00020----- 012010-100 51?0?10000 0000110000 0010-0- 
Paraphormosoma  0101000000 0-0-000000 0000-00000 0000?? 00020----- 012010-100 5150?10000 0000100000 0010-0- 
Phormosoma  0101000000 0-0-000000 0000-00000 000011 00020----- 012010-100 01530-1020 0000-00000 0010-0- 
Sperosoma  0101000000 0-0-000000 0000-00000 0000?? 00020----- 012010-100 5153?11020 0000110000 0010-0- 
Aspidodiadema  0001000000 0-0-002100 0000-00000 000011 00000----- 012010-100 5150000000 0000100000 0030-0- 
Diadema   0001000000 0-0-001100 0000-00000 000011 0000101100 012010-100 5150011000 0000000001 0020-0- 
Heterodiadema  0001000000 0-0-002100 000?-00000 0000?? 0000?????? 0???10-0?0 ?????????? ?????????? ???0-?- 
Micropyga  0101000000 0-0-001000 0000-00000 000011 00000----- 012010-100 5150011000 0000100000 0010-0- 
Caenopedina  0001000000 0-0-002100 0000-00000 000011 00002----- 012000-100 5150000000 0000000001 0010-0- 
Eodiadema  0001000000 0-0-002100 0000-00000 0000?? 0000101110 012000-100 5150?01000 00000000a1 ???0-?- 
Orthopsis  0001000000 0-0-002100 0000-00000 0000?? 00002----- 012000-100 5150000000 00000000a1 ???0-?- 
Acrosalenia  0001000000 0-0-002100 0000-00000 000011 0000101110 012000-110 5150000000 0000000022 1??0-?- 
